,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD),time_frame,symbol
20508,2021-03-15,437.89,451.82,419.78,431.41,437.89,451.82,419.78,431.41,21668.715,21668.715,daily,COMP
20509,2021-03-14,465.7,470.64,435.5,438.13,465.7,470.64,435.5,438.13,17821.35254,17821.35254,daily,COMP
20510,2021-03-13,434.28,469.47,413.15,465.63,434.28,469.47,413.15,465.63,34919.08697,34919.08697,daily,COMP
20511,2021-03-12,466.06,468.19,426.0,434.2,466.06,468.19,426.0,434.2,27660.27733,27660.27733,daily,COMP
20512,2021-03-11,461.05,477.71,450.0,465.84,461.05,477.71,450.0,465.84,28099.92597,28099.92597,daily,COMP
20513,2021-03-10,501.4,505.52,450.0,460.43,501.4,505.52,450.0,460.43,31652.86795,31652.86795,daily,COMP
20514,2021-03-09,477.28,503.91,470.29,502.28,477.28,503.91,470.29,502.28,29985.10008,29985.10008,daily,COMP
20515,2021-03-08,490.77,491.52,462.0,476.46,490.77,491.52,462.0,476.46,23112.43899,23112.43899,daily,COMP
20516,2021-03-07,492.24,495.3,469.4,490.35,492.24,495.3,469.4,490.35,17317.85425,17317.85425,daily,COMP
20517,2021-03-06,475.07,513.94,468.08,491.37,475.07,513.94,468.08,491.37,33534.11379,33534.11379,daily,COMP
20518,2021-03-05,470.34,484.54,444.51,475.41,470.34,484.54,444.51,475.41,24231.96511,24231.96511,daily,COMP
20519,2021-03-04,491.98,503.93,455.87,470.34,491.98,503.93,455.87,470.34,23933.94141,23933.94141,daily,COMP
20520,2021-03-03,499.92,518.69,490.0,491.15,499.92,518.69,490.0,491.15,27572.27275,27572.27275,daily,COMP
20521,2021-03-02,493.78,536.2,478.12,499.42,493.78,536.2,478.12,499.42,91522.59095,91522.59095,daily,COMP
20522,2021-03-01,404.86,499.0,404.83,493.56,404.86,499.0,404.83,493.56,80162.82114,80162.82114,daily,COMP
